# Table de vérité
# Générée à partir du circuit additionneur
# Exportée dans Fri Oct 28 09:49:40 CEST 2022

# Conseils et remarques sur la mise en forme :
# * Vous pouvez modifier ce fichier, puis le réimporter dans Logisim !
# * Tout ce qui suit un '#' correspond à un commentaire et sera ignoré.
# * Lesl ignes vides et les lignes de séparation (par exemple : ~~~~~~) sont ignorées.
# * Utilisez des noms de colonne simples (sans espaces, ni ponctuation, etc.)
# * 'Nom[N..0]' indique une variable de N + 1 bits, alors que
# 'Nom' tout seul indique une variable de 1 bit.
# * Vous pouvez utiliser 'x' ou '-' pour indiquer "indifférent" pour les
# bits d'entrée et de sortie.
# * Vous pouvez utiliser la notation binaire (par exemple, '10100011xxxx') ou
# ou hexadécimale (par exemple, 'C3x'). Logisim déterminera la notation utilisée.

A3 A2 A1 A0 B3 B2 B1 B0 | C0 C1 C2 C3 carry
1  0  0  0  0  0  0  0  | 0  0  0  1    0  
1  0  0  0  0  0  0  1  | 1  0  0  1    0  
1  0  0  0  0  0  1  0  | 0  1  0  1    0  
1  0  0  0  0  0  1  1  | 1  1  0  1    0  
1  0  0  0  0  1  0  0  | 0  0  1  1    0  
1  0  0  0  0  1  0  1  | 1  0  1  1    0  
1  0  0  0  0  1  1  0  | 0  1  1  1    0  
1  0  0  0  0  1  1  1  | 1  1  1  1    0  
1  0  0  0  1  0  0  0  | 0  0  0  0    1  
1  0  0  0  1  0  0  1  | 1  0  0  0    1  
1  0  0  0  1  0  1  0  | 0  1  0  0    1  
1  0  0  0  1  0  1  1  | 1  1  0  0    1  
1  0  0  0  1  1  0  0  | 0  0  1  0    1  
1  0  0  0  1  1  0  1  | 1  0  1  0    1  
1  0  0  0  1  1  1  0  | 0  1  1  0    1  
1  0  0  0  1  1  1  1  | 1  1  1  0    1  
1  0  0  1  0  0  0  0  | 1  0  0  1    0  
1  0  0  1  0  0  0  1  | 0  1  0  1    0  
1  0  0  1  0  0  1  0  | 1  1  0  1    0  
1  0  0  1  0  0  1  1  | 0  0  1  1    0  
1  0  0  1  0  1  0  0  | 1  0  1  1    0  
1  0  0  1  0  1  0  1  | 0  1  1  1    0  
1  0  0  1  0  1  1  0  | 1  1  1  1    0  
1  0  0  1  0  1  1  1  | 0  0  0  0    1  
1  0  0  1  1  0  0  0  | 1  0  0  0    1  
1  0  0  1  1  0  0  1  | 0  1  0  0    1  
1  0  0  1  1  0  1  0  | 1  1  0  0    1  
1  0  0  1  1  0  1  1  | 0  0  1  0    1  
1  0  0  1  1  1  0  0  | 1  0  1  0    1  
1  0  0  1  1  1  0  1  | 0  1  1  0    1  
1  0  0  1  1  1  1  0  | 1  1  1  0    1  
1  0  0  1  1  1  1  1  | 0  0  0  1    1  
1  0  1  0  0  0  0  0  | 0  1  0  1    0  
1  0  1  0  0  0  0  1  | 1  1  0  1    0  
1  0  1  0  0  0  1  0  | 0  0  1  1    0  
1  0  1  0  0  0  1  1  | 1  0  1  1    0  
1  0  1  0  0  1  0  0  | 0  1  1  1    0  
1  0  1  0  0  1  0  1  | 1  1  1  1    0  
1  0  1  0  0  1  1  0  | 0  0  0  0    1  
1  0  1  0  0  1  1  1  | 1  0  0  0    1  
1  0  1  0  1  0  0  0  | 0  1  0  0    1  
1  0  1  0  1  0  0  1  | 1  1  0  0    1  
1  0  1  0  1  0  1  0  | 0  0  1  0    1  
1  0  1  0  1  0  1  1  | 1  0  1  0    1  
1  0  1  0  1  1  0  0  | 0  1  1  0    1  
1  0  1  0  1  1  0  1  | 1  1  1  0    1  
1  0  1  0  1  1  1  0  | 0  0  0  1    1  
1  0  1  0  1  1  1  1  | 1  0  0  1    1  
1  0  1  1  0  0  0  0  | 1  1  0  1    0  
1  0  1  1  0  0  0  1  | 0  0  1  1    0  
1  0  1  1  0  0  1  0  | 1  0  1  1    0  
1  0  1  1  0  0  1  1  | 0  1  1  1    0  
1  0  1  1  0  1  0  0  | 1  1  1  1    0  
1  0  1  1  0  1  0  1  | 0  0  0  0    1  
1  0  1  1  0  1  1  0  | 1  0  0  0    1  
1  0  1  1  0  1  1  1  | 0  1  0  0    1  
1  0  1  1  1  0  0  0  | 1  1  0  0    1  
1  0  1  1  1  0  0  1  | 0  0  1  0    1  
1  0  1  1  1  0  1  0  | 1  0  1  0    1  
1  0  1  1  1  0  1  1  | 0  1  1  0    1  
1  0  1  1  1  1  0  0  | 1  1  1  0    1  
1  0  1  1  1  1  0  1  | 0  0  0  1    1  
1  0  1  1  1  1  1  0  | 1  0  0  1    1  
1  0  1  1  1  1  1  1  | 0  1  0  1    1  
1  1  0  0  0  0  0  0  | 0  0  1  1    0  
1  1  0  0  0  0  0  1  | 1  0  1  1    0  
1  1  0  0  0  0  1  0  | 0  1  1  1    0  
1  1  0  0  0  0  1  1  | 1  1  1  1    0  
1  1  0  0  0  1  0  0  | 0  0  0  0    1  
1  1  0  0  0  1  0  1  | 1  0  0  0    1  
1  1  0  0  0  1  1  0  | 0  1  0  0    1  
1  1  0  0  0  1  1  1  | 1  1  0  0    1  
1  1  0  0  1  0  0  0  | 0  0  1  0    1  
1  1  0  0  1  0  0  1  | 1  0  1  0    1  
1  1  0  0  1  0  1  0  | 0  1  1  0    1  
1  1  0  0  1  0  1  1  | 1  1  1  0    1  
1  1  0  0  1  1  0  0  | 0  0  0  1    1  
1  1  0  0  1  1  0  1  | 1  0  0  1    1  
1  1  0  0  1  1  1  0  | 0  1  0  1    1  
1  1  0  0  1  1  1  1  | 1  1  0  1    1  
1  1  0  1  0  0  0  0  | 1  0  1  1    0  
1  1  0  1  0  0  0  1  | 0  1  1  1    0  
1  1  0  1  0  0  1  0  | 1  1  1  1    0  
1  1  0  1  0  0  1  1  | 0  0  0  0    1  
1  1  0  1  0  1  0  0  | 1  0  0  0    1  
1  1  0  1  0  1  0  1  | 0  1  0  0    1  
1  1  0  1  0  1  1  0  | 1  1  0  0    1  
1  1  0  1  0  1  1  1  | 0  0  1  0    1  
1  1  0  1  1  0  0  0  | 1  0  1  0    1  
1  1  0  1  1  0  0  1  | 0  1  1  0    1  
1  1  0  1  1  0  1  0  | 1  1  1  0    1  
1  1  0  1  1  0  1  1  | 0  0  0  1    1  
1  1  0  1  1  1  0  0  | 1  0  0  1    1  
1  1  0  1  1  1  0  1  | 0  1  0  1    1  
1  1  0  1  1  1  1  0  | 1  1  0  1    1  
1  1  0  1  1  1  1  1  | 0  0  1  1    1  
1  1  1  0  0  0  0  0  | 0  1  1  1    0  
1  1  1  0  0  0  0  1  | 1  1  1  1    0  
1  1  1  0  0  0  1  0  | 0  0  0  0    1  
1  1  1  0  0  0  1  1  | 1  0  0  0    1  
1  1  1  0  0  1  0  0  | 0  1  0  0    1  
1  1  1  0  0  1  0  1  | 1  1  0  0    1  
1  1  1  0  0  1  1  0  | 0  0  1  0    1  
1  1  1  0  0  1  1  1  | 1  0  1  0    1  
1  1  1  0  1  0  0  0  | 0  1  1  0    1  
1  1  1  0  1  0  0  1  | 1  1  1  0    1  
1  1  1  0  1  0  1  0  | 0  0  0  1    1  
1  1  1  0  1  0  1  1  | 1  0  0  1    1  
1  1  1  0  1  1  0  0  | 0  1  0  1    1  
1  1  1  0  1  1  0  1  | 1  1  0  1    1  
1  1  1  0  1  1  1  0  | 0  0  1  1    1  
1  1  1  0  1  1  1  1  | 1  0  1  1    1  
1  1  1  1  0  0  0  0  | 1  1  1  1    0  
1  1  1  1  0  0  0  1  | 0  0  0  0    1  
1  1  1  1  0  0  1  0  | 1  0  0  0    1  
1  1  1  1  0  0  1  1  | 0  1  0  0    1  
1  1  1  1  0  1  0  0  | 1  1  0  0    1  
1  1  1  1  0  1  0  1  | 0  0  1  0    1  
1  1  1  1  0  1  1  0  | 1  0  1  0    1  
1  1  1  1  0  1  1  1  | 0  1  1  0    1  
1  1  1  1  1  0  0  0  | 1  1  1  0    1  
1  1  1  1  1  0  0  1  | 0  0  0  1    1  
1  1  1  1  1  0  1  0  | 1  0  0  1    1  
1  1  1  1  1  0  1  1  | 0  1  0  1    1  
1  1  1  1  1  1  0  0  | 1  1  0  1    1  
1  1  1  1  1  1  0  1  | 0  0  1  1    1  
1  1  1  1  1  1  1  0  | 1  0  1  1    1  
1  1  1  1  1  1  1  1  | 0  1  1  1    1  
